Well_id,titer,dcm,yield,Yeast_extract_source,Yeast_extract,Glycerol,Tryptone,Magnesium_sulfate,pH,Buffer_capacity,Osmolality,Category,Run_number,Replicate,Dipotassium_phosphate,Potassium_phosphate,Sodium_chloride,Well_bottom,Well_volume,Well_fill_volume,Well_cover,Shake_speed,Temperature,Time,Inoculum_amount,Inoculum_age,Antibiotic_conc,Flask_baffles,Flask_volume,Flask_fill_volume,Flask_cover,Exp_number,Random,Plate,Exp_plate,Row,Column,Well,Starter_culture,Exp_date,Plate_streak_date,Media_number,Strain
e26-1-1-1-E4,4.159806861326675,8.610271515500001,0.4831214502165574,1,24,5,12,0.12,7.2,90,750,Exp,1,1,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Foil,230,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,13,1,1,E,4,E4,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-10-1-1-D4,3.762540750367558,8.3214643805,0.4521488740833237,1,24,5,12,0.12,7.2,90,750,Exp,10,1,12.7,2.2799999999999998,6.63,Pyramidal,2.5,0.1,Aeraseal,230,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,36,1,2,D,4,D4,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-11-1-1-C8,15.811272666033858,9.302065350500001,1.6997593620629612,1,24,5,12,0.12,7.2,90,750,Exp,11,1,12.7,2.2799999999999998,6.63,Round,10,0.1,Aeraseal,230,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,27,1,3,C,8,C8,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-12-1-1-B5,9.756221115098914,10.870355257999998,0.8975071084193738,1,24,5,12,0.12,7.2,90,750,Exp,12,1,12.7,2.2799999999999998,6.63,Pyramidal,10,0.1,Aeraseal,230,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,7,1,4,B,5,B5,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-13-1-1-D3,4.264092909327449,9.930052958000001,0.42941290719825875,1,24,5,12,0.12,7.2,90,750,Exp,13,1,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,34,1,5,D,3,D3,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-14-1-1-C6,5.664908127899995,10.571473455500001,0.5358674125935323,1,24,5,12,0.12,7.2,90,750,Exp,14,1,12.7,2.2799999999999998,6.63,Pyramidal,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,25,1,6,C,6,C6,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-15-1-1-C10,5.489655999369607,11.179311728,0.4910549175956932,1,24,5,12,0.12,7.2,90,750,Exp,15,1,12.7,2.2799999999999998,6.63,Round,10,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,31,1,7,C,10,C10,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-16-1-1-C4,4.822777496460279,10.705802355500001,0.4504825828381396,1,24,5,12,0.12,7.2,90,750,Exp,16,1,12.7,2.2799999999999998,6.63,Pyramidal,10,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,22,1,8,C,4,C4,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-17-5-1-E6,1.086138796767795,4.570329847999999,0.23764997995562512,1,24,5,12,0.12,7.2,90,750,Exp,17,5,12.7,2.2799999999999998,6.63,Round,2.5,0.3,Foil,230,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,16,1,1,E,6,E6,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-18-1-1-E8,1.325126471290782,5.060630332999999,0.2618500827159276,1,24,5,12,0.12,7.2,90,750,Exp,18,1,12.7,2.2799999999999998,6.63,Pyramidal,2.5,0.3,Foil,230,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,24,1,2,E,8,E8,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-19-1-1-E9,10.331993293764718,8.5834057355,1.2037172204306685,1,24,5,12,0.12,7.2,90,750,Exp,19,1,12.7,2.2799999999999998,6.63,Round,10,0.3,Foil,230,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,28,1,3,E,9,E9,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-2-1-1-F5,2.1438285560477945,6.3770535530000005,0.3361785404858736,1,24,5,12,0.12,7.2,90,750,Exp,2,1,12.7,2.2799999999999998,6.63,Pyramidal,2.5,0.1,Foil,230,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,35,1,2,F,5,F5,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-20-1-1-F4,10.483432961593328,8.784899085500001,1.1933469991586878,1,24,5,12,0.12,7.2,90,750,Exp,20,1,12.7,2.2799999999999998,6.63,Pyramidal,10,0.3,Foil,230,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,33,1,4,F,4,F4,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-21-1-1-E7,8.874847838849877,8.761391528,1.0129495766154597,1,24,5,12,0.12,7.2,90,750,Exp,21,1,12.7,2.2799999999999998,6.63,Round,2.5,0.3,Foil,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,19,1,5,E,7,E7,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
e26-22-1-1-F6,11.305571612550349,9.1946022305,1.2295878961514963,1,24,5,12,0.12,7.2,90,750,Exp,22,1,12.7,2.2799999999999998,6.63,Pyramidal,2.5,0.3,Foil,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e26,40,1,6,F,6,F6,8,2017-10-10T00:00:00Z,2017-10-04T00:00:00Z,"NA","NA"
